,Start Time,Duration,Error Type,Light
167,2019-07-03 08:52:31.700,0.2,L0P1,Not Green
168,2019-07-03 08:53:18.800,0.1,L0P1,During Green
169,2019-07-03 08:55:26.000,0.1,L1P0,During Green
170,2019-07-03 08:59:05.100,0.1,L0P1,Not Green
171,2019-07-03 09:17:02.800,0.1,L0P1,During Green
172,2019-07-03 09:18:19.800,0.1,L0P1,During Green
173,2019-07-03 09:18:33.000,2.5,L0P1,Not Green
174,2019-07-03 09:18:35.500,0.2,L1P0,Not Green
175,2019-07-03 09:18:44.200,0.1,L1P0,Not Green
176,2019-07-03 09:18:47.200,0.1,L1P0,Not Green
177,2019-07-03 09:19:36.800,0.1,L0P1,During Green
178,2019-07-03 09:21:13.100,0.1,L1P0,During Green
179,2019-07-03 09:21:44.200,0.2,L0P1,Not Green
180,2019-07-03 09:22:24.000,0.1,L0P1,During Green
181,2019-07-03 09:23:11.400,0.1,L0P1,During Green
182,2019-07-03 09:25:08.900,0.1,L1P0,Not Green
183,2019-07-03 09:26:14.500,0.1,L1P0,Not Green
184,2019-07-03 09:27:57.000,0.1,L0P1,Not Green
185,2019-07-03 09:29:36.500,0.1,L1P0,Not Green
186,2019-07-03 09:29:47.400,0.1,L1P0,Not Green
187,2019-07-03 09:29:48.500,0.1,L1P0,Not Green
188,2019-07-03 09:31:07.500,0.1,L0P1,Not Green
189,2019-07-03 09:31:08.400,0.2,L0P1,Not Green
190,2019-07-03 09:32:02.600,23.9,L0P1,During Green
191,2019-07-03 09:32:26.600,0.7,L0P1,Not Green
192,2019-07-03 09:34:00.300,2.6,L0P1,Not Green
193,2019-07-03 09:34:20.100,0.1,L0P1,Not Green
194,2019-07-03 09:35:16.300,0.1,L0P1,Not Green
195,2019-07-03 09:35:26.200,0.1,L1P0,During Green
196,2019-07-03 09:36:25.300,0.2,L0P1,During Green
197,2019-07-03 09:36:26.900,1.0,L0P1,During Green
198,2019-07-03 09:36:59.500,0.1,L0P1,Not Green
199,2019-07-03 09:37:49.800,0.1,L1P0,During Green
200,2019-07-03 09:38:31.700,0.2,L1P0,During Green
201,2019-07-03 09:38:32.000,0.2,L0P1,Not Green
202,2019-07-03 09:39:06.400,0.1,L1P0,Not Green
203,2019-07-03 09:40:05.500,0.1,L1P0,Not Green
204,2019-07-03 09:40:08.700,0.2,L1P0,Not Green
205,2019-07-03 09:40:09.500,0.1,L0P1,Not Green
206,2019-07-03 09:40:11.500,0.1,L0P1,Not Green
207,2019-07-03 09:40:17.500,0.1,L1P0,Not Green
208,2019-07-03 09:40:20.200,0.2,L1P0,Not Green
209,2019-07-03 09:40:21.300,0.2,L0P1,Not Green
210,2019-07-03 09:42:51.800,0.1,L0P1,During Green
211,2019-07-03 09:43:03.800,0.1,L1P0,During Green
212,2019-07-03 09:43:40.600,0.2,L0P1,Not Green
213,2019-07-03 09:46:36.900,0.1,L1P0,Not Green
214,2019-07-03 09:46:37.900,0.1,L0P1,Not Green
215,2019-07-03 09:46:38.900,0.1,L1P0,Not Green
216,2019-07-03 09:46:39.900,0.1,L0P1,Not Green
217,2019-07-03 09:50:18.200,0.1,L0P1,During Green
218,2019-07-03 09:50:51.300,0.1,L1P0,Not Green
219,2019-07-03 09:51:21.300,0.1,L0P1,Not Green
220,2019-07-03 09:51:30.600,0.1,L0P1,Not Green
221,2019-07-03 09:53:26.500,0.1,L0P1,Not Green
222,2019-07-03 09:53:53.900,0.1,L0P1,Not Green
223,2019-07-03 09:53:56.900,0.1,L1P0,Not Green
224,2019-07-03 09:53:58.800,0.1,L0P1,Not Green
225,2019-07-03 09:55:09.100,0.1,L0P1,During Green
226,2019-07-03 09:55:16.600,0.8,L0P1,Not Green
227,2019-07-03 09:55:40.800,0.1,L1P0,Not Green
228,2019-07-03 09:55:42.000,0.1,L1P0,Not Green
229,2019-07-03 09:56:45.400,0.1,L0P1,Not Green
230,2019-07-03 09:56:46.500,0.1,L1P0,Not Green
231,2019-07-03 09:56:49.100,0.1,L1P0,Not Green
232,2019-07-03 10:00:04.400,0.2,L1P0,Not Green
233,2019-07-03 10:03:50.200,0.1,L1P0,Not Green
234,2019-07-03 10:03:51.300,0.1,L0P1,Not Green
235,2019-07-03 10:04:36.900,0.1,L1P0,Not Green
236,2019-07-03 10:07:07.800,0.1,L1P0,Not Green
237,2019-07-03 10:08:56.400,1.7,L1P0,During Green
238,2019-07-03 10:09:01.900,0.1,L1P0,Not Green
239,2019-07-03 10:10:24.800,0.2,L0P1,Not Green
240,2019-07-03 10:11:03.100,0.2,L1P0,Not Green
241,2019-07-03 10:11:41.700,0.1,L0P1,Not Green
242,2019-07-03 10:12:22.900,0.1,L0P1,During Green
243,2019-07-03 10:13:33.600,0.1,L1P0,Not Green
244,2019-07-03 10:14:20.200,0.2,L1P0,Not Green
245,2019-07-03 10:16:34.200,0.1,L1P0,Not Green
246,2019-07-03 10:16:43.300,0.1,L1P0,Not Green
247,2019-07-03 10:16:44.500,0.1,L1P0,Not Green
248,2019-07-03 10:20:00.600,0.1,L1P0,Not Green
249,2019-07-03 10:20:01.600,0.1,L0P1,Not Green
250,2019-07-03 10:20:03.600,0.1,L1P0,Not Green
251,2019-07-03 10:20:17.000,0.1,L0P1,Not Green
252,2019-07-03 10:23:48.800,0.1,L1P0,Not Green
253,2019-07-03 10:25:36.500,0.1,L1P0,Not Green
254,2019-07-03 10:25:41.200,0.2,L0P1,Not Green
255,2019-07-03 10:27:02.000,0.1,L1P0,Not Green
256,2019-07-03 10:27:03.200,0.1,L0P1,Not Green
257,2019-07-03 10:28:51.100,0.2,L0P1,Not Green
258,2019-07-03 10:29:45.900,0.1,L1P0,Not Green
259,2019-07-03 10:29:49.700,0.1,L1P0,Not Green
260,2019-07-03 10:29:58.100,0.1,L1P0,During Green
261,2019-07-03 10:30:23.600,0.6,L0P1,During Green
262,2019-07-03 10:30:31.300,0.1,L0P1,Not Green
263,2019-07-03 10:31:01.100,0.1,L1P0,Not Green
264,2019-07-03 10:31:02.500,0.1,L0P1,Not Green
265,2019-07-03 10:31:05.400,0.1,L1P0,Not Green
266,2019-07-03 10:36:14.900,0.2,L0P1,Not Green
267,2019-07-03 10:36:37.000,0.1,L1P0,Not Green
268,2019-07-03 10:36:40.100,0.3,L0P1,Not Green
269,2019-07-03 10:36:53.200,0.1,L1P0,Not Green
270,2019-07-03 10:37:18.800,0.1,L0P1,Not Green
271,2019-07-03 10:37:54.900,0.2,L0P1,During Green
272,2019-07-03 10:39:07.700,71.8,L0P1,Not Green
273,2019-07-03 10:40:19.600,0.7,L0P1,Not Green
274,2019-07-03 10:40:56.400,0.1,L1P0,During Green
275,2019-07-03 10:43:23.600,0.9,L0P1,Not Green
276,2019-07-03 10:45:53.500,0.1,L1P0,Not Green
277,2019-07-03 10:46:52.000,0.1,L1P0,Not Green
278,2019-07-03 10:47:44.100,0.1,L1P0,Not Green
279,2019-07-03 10:49:00.800,0.3,L0P1,Not Green
280,2019-07-03 10:50:24.900,1.7,L1P0,Not Green
281,2019-07-03 10:50:45.300,0.1,L0P1,During Green
282,2019-07-03 10:50:47.700,0.2,L0P1,Not Green
283,2019-07-03 10:52:29.400,0.3,L1P0,During Green
284,2019-07-03 10:53:09.400,0.1,L1P0,Not Green
285,2019-07-03 10:53:14.100,0.1,L0P1,Not Green
286,2019-07-03 10:53:24.600,0.1,L1P0,Not Green
287,2019-07-03 10:56:02.000,0.1,L1P0,During Green
288,2019-07-03 10:57:12.600,0.2,L0P1,Not Green
289,2019-07-03 10:57:56.100,5.5,L1P0,During Green
290,2019-07-03 10:58:29.700,28.7,L0P1,Not Green
291,2019-07-03 10:59:38.600,0.1,L1P0,Not Green
292,2019-07-03 10:59:57.800,0.1,L0P1,Not Green
293,2019-07-03 11:00:04.600,0.1,L0P1,Not Green
294,2019-07-03 11:00:08.900,0.1,L1P0,Not Green
295,2019-07-03 11:00:09.900,0.1,L0P1,Not Green
296,2019-07-03 11:00:43.100,0.1,L1P0,Not Green
297,2019-07-03 11:01:23.700,0.1,L1P0,Not Green
298,2019-07-03 11:02:11.900,0.1,L1P0,Not Green
299,2019-07-03 11:04:17.300,0.1,L0P1,Not Green
300,2019-07-03 11:04:31.500,0.1,L0P1,Not Green
301,2019-07-03 11:04:32.500,0.1,L1P0,Not Green
302,2019-07-03 11:07:44.300,0.2,L0P1,Not Green
303,2019-07-03 11:07:49.900,0.5,L0P1,Not Green
304,2019-07-03 11:07:52.300,0.1,L1P0,Not Green
305,2019-07-03 11:08:28.600,0.1,L1P0,Not Green
306,2019-07-03 11:10:55.600,1.1,L0P1,During Green
307,2019-07-03 11:13:15.100,0.1,L0P1,Not Green
308,2019-07-03 11:13:15.500,0.1,L0P1,Not Green
309,2019-07-03 11:13:18.200,0.1,L1P0,Not Green
310,2019-07-03 11:13:22.100,0.1,L0P1,Not Green
311,2019-07-03 11:13:58.500,0.2,L0P1,Not Green
312,2019-07-03 11:15:18.300,0.1,L0P1,Not Green
313,2019-07-03 11:16:57.100,0.2,L0P1,Not Green
314,2019-07-03 11:17:02.600,0.5,L0P1,Not Green
315,2019-07-03 11:18:33.000,0.2,L0P1,Not Green
316,2019-07-03 11:20:10.200,0.1,L1P0,Not Green
317,2019-07-03 11:20:35.800,0.1,L1P0,Not Green
318,2019-07-03 11:22:48.400,0.1,L1P0,Not Green
319,2019-07-03 11:22:51.600,0.1,L0P1,Not Green
320,2019-07-03 11:24:18.700,0.1,L0P1,Not Green
321,2019-07-03 11:27:47.000,0.1,L0P1,Not Green
322,2019-07-03 11:29:09.800,0.2,L0P1,During Green
323,2019-07-03 11:29:47.300,1.9,L0P1,Not Green
324,2019-07-03 11:31:21.000,0.1,L1P0,Not Green
325,2019-07-03 11:32:05.600,0.1,L1P0,Not Green
326,2019-07-03 11:32:06.600,0.2,L0P1,Not Green
327,2019-07-03 11:33:58.100,0.1,L1P0,During Green
328,2019-07-03 11:35:15.600,0.1,L0P1,Not Green
329,2019-07-03 11:35:42.300,0.1,L1P0,During Green
330,2019-07-03 11:35:43.300,0.1,L0P1,Not Green
331,2019-07-03 11:37:04.700,0.4,L1P0,During Green
332,2019-07-03 11:37:09.000,0.1,L0P1,Not Green
333,2019-07-03 11:37:46.300,0.1,L1P0,Not Green
334,2019-07-03 11:39:01.400,0.2,L0P1,Not Green
335,2019-07-03 11:40:07.400,0.2,L0P1,Not Green
336,2019-07-03 11:40:14.600,10.2,L0P1,Not Green
337,2019-07-03 11:41:09.600,0.3,L0P1,Not Green
338,2019-07-03 11:41:15.900,0.1,L0P1,Not Green
339,2019-07-03 11:41:55.900,0.1,L1P0,During Green
340,2019-07-03 11:42:40.600,6.3,L0P1,Not Green
341,2019-07-03 11:42:56.600,0.1,L1P0,Not Green
342,2019-07-03 11:43:01.200,0.2,L0P1,Not Green
343,2019-07-03 11:43:02.100,0.1,L1P0,Not Green
344,2019-07-03 11:43:03.600,1.7,L0P1,Not Green
345,2019-07-03 11:46:21.900,0.1,L1P0,Not Green
346,2019-07-03 11:46:23.200,8.0,L0P1,Not Green
347,2019-07-03 11:46:48.700,0.2,L0P1,During Green
348,2019-07-03 11:48:10.100,0.3,L0P1,Not Green
349,2019-07-03 11:49:21.100,0.6,L0P1,Not Green
350,2019-07-03 11:50:12.100,0.3,L1P0,Not Green
351,2019-07-03 11:50:13.100,0.1,L0P1,Not Green
352,2019-07-03 11:50:19.900,0.1,L1P0,Not Green
353,2019-07-03 11:50:45.800,0.1,L1P0,Not Green
354,2019-07-03 11:51:54.200,0.1,L0P1,Not Green
355,2019-07-03 11:52:49.500,0.1,L0P1,Not Green
356,2019-07-03 11:53:40.100,0.1,L1P0,Not Green
357,2019-07-03 11:55:19.900,0.1,L1P0,Not Green
358,2019-07-03 11:55:21.100,0.1,L0P1,Not Green
359,2019-07-03 11:58:51.300,0.1,L0P1,Not Green
360,2019-07-03 11:59:29.400,0.1,L1P0,Not Green
361,2019-07-03 11:59:31.000,0.3,L0P1,Not Green
362,2019-07-03 12:00:44.400,0.2,L0P1,During Green
363,2019-07-03 12:00:49.600,1.3,L0P1,Not Green
364,2019-07-03 12:03:07.500,0.1,L0P1,Not Green
365,2019-07-03 12:06:09.900,0.3,L1P0,During Green
366,2019-07-03 12:06:26.900,0.1,L1P0,Not Green
367,2019-07-03 12:08:28.700,0.1,L1P0,Not Green
368,2019-07-03 12:08:29.600,0.2,L0P1,Not Green
369,2019-07-03 12:08:54.200,0.1,L1P0,Not Green
370,2019-07-03 12:10:04.900,0.1,L1P0,Not Green
371,2019-07-03 12:10:08.800,0.1,L0P1,Not Green
372,2019-07-03 12:10:14.700,0.1,L1P0,Not Green
373,2019-07-03 12:10:16.000,0.1,L0P1,Not Green
374,2019-07-03 12:11:55.300,0.3,L1P0,During Green
375,2019-07-03 12:12:14.500,0.1,L0P1,Not Green
376,2019-07-03 12:12:15.500,0.2,L0P1,Not Green
377,2019-07-03 12:13:41.800,0.1,L0P1,Not Green
378,2019-07-03 12:17:16.000,0.9,L1P0,Not Green
379,2019-07-03 12:17:33.500,0.1,L1P0,Not Green
380,2019-07-03 12:17:35.300,0.1,L1P0,Not Green
381,2019-07-03 12:18:58.500,0.1,L0P1,During Green
382,2019-07-03 12:20:47.600,0.1,L1P0,Not Green
383,2019-07-03 12:21:13.900,0.2,L1P0,Not Green
384,2019-07-03 12:21:45.400,0.1,L0P1,Not Green
385,2019-07-03 12:22:47.000,0.1,L1P0,Not Green
386,2019-07-03 12:22:47.600,0.1,L1P0,Not Green
387,2019-07-03 12:22:50.200,0.1,L1P0,Not Green
388,2019-07-03 12:23:06.700,0.1,L1P0,Not Green
389,2019-07-03 12:23:07.600,0.2,L0P1,Not Green
390,2019-07-03 12:23:17.400,0.2,L0P1,Not Green
391,2019-07-03 12:27:35.800,0.1,L1P0,Not Green
392,2019-07-03 12:28:25.300,0.3,L1P0,During Green
393,2019-07-03 12:28:28.800,0.2,L1P0,Not Green
394,2019-07-03 12:28:35.000,0.1,L1P0,Not Green
395,2019-07-03 12:30:00.700,0.1,L1P0,Not Green
396,2019-07-03 12:30:16.300,0.2,L1P0,Not Green
397,2019-07-03 12:30:18.600,0.2,L1P0,Not Green
398,2019-07-03 12:30:23.200,0.2,L1P0,Not Green
399,2019-07-03 12:30:32.900,0.1,L0P1,Not Green
400,2019-07-03 12:30:37.600,0.1,L0P1,Not Green
401,2019-07-03 12:31:41.700,1.6,L0P1,Not Green
402,2019-07-03 12:32:07.300,0.1,L1P0,Not Green
403,2019-07-03 12:32:57.500,0.1,L0P1,Not Green
404,2019-07-03 12:34:05.100,0.1,L1P0,Not Green
405,2019-07-03 12:37:37.000,0.1,L0P1,Not Green
406,2019-07-03 12:37:49.700,0.1,L0P1,Not Green
407,2019-07-03 12:38:44.200,0.1,L0P1,During Green
408,2019-07-03 12:39:27.500,0.1,L1P0,During Green
409,2019-07-03 12:39:28.400,0.3,L1P0,Not Green
410,2019-07-03 12:39:36.400,0.1,L1P0,Not Green
411,2019-07-03 12:40:52.000,0.1,L1P0,During Green
412,2019-07-03 12:43:05.000,0.1,L0P1,Not Green
413,2019-07-03 12:43:08.000,0.2,L0P1,Not Green
414,2019-07-03 12:43:18.000,0.1,L1P0,Not Green
415,2019-07-03 12:43:19.400,0.1,L0P1,Not Green
416,2019-07-03 12:45:07.600,0.1,L0P1,Not Green
417,2019-07-03 12:46:44.600,0.4,L0P1,During Green
418,2019-07-03 12:48:00.400,0.2,L1P0,Not Green
419,2019-07-03 12:49:34.100,0.1,L1P0,Not Green
420,2019-07-03 12:50:40.000,0.4,L0P1,Not Green
421,2019-07-03 12:50:42.200,0.1,L1P0,Not Green
422,2019-07-03 12:52:16.100,0.1,L0P1,Not Green
423,2019-07-03 12:52:19.800,0.1,L1P0,Not Green
424,2019-07-03 12:52:39.900,0.1,L1P0,Not Green
425,2019-07-03 12:52:40.900,0.1,L0P1,Not Green
426,2019-07-03 12:54:05.300,0.2,L0P1,During Green
427,2019-07-03 12:55:47.000,0.1,L1P0,During Green
428,2019-07-03 12:55:54.400,0.1,L1P0,Not Green
429,2019-07-03 12:55:56.200,0.2,L0P1,Not Green
430,2019-07-03 12:55:56.500,0.1,L0P1,Not Green
431,2019-07-03 12:56:03.700,0.1,L0P1,Not Green
432,2019-07-03 12:56:05.100,0.2,L0P1,Not Green
433,2019-07-03 12:56:11.200,0.1,L1P0,Not Green
