,Start Time,Duration,Error Type
300,2019-06-12 06:43:39.800,0.2,L0P1
301,2019-06-12 06:43:41.200,0.2,L0P1
302,2019-06-12 06:44:09.200,0.1,L0P1
303,2019-06-12 06:44:13.000,0.2,L0P1
304,2019-06-12 06:44:13.600,0.3,L0P1
305,2019-06-12 06:44:39.300,0.1,L1P0
306,2019-06-12 06:44:59.600,0.4,L0P1
307,2019-06-12 06:45:03.200,0.2,L0P1
308,2019-06-12 06:45:04.800,0.3,L0P1
309,2019-06-12 06:45:24.600,0.2,L0P1
310,2019-06-12 06:45:46.100,0.1,L0P1
311,2019-06-12 06:45:46.800,0.1,L0P1
312,2019-06-12 06:46:20.500,0.2,L0P1
313,2019-06-12 06:48:13.500,1.3,L0P1
314,2019-06-12 06:48:19.300,0.2,L0P1
315,2019-06-12 06:48:21.200,0.4,L0P1
316,2019-06-12 06:48:22.000,0.3,L0P1
317,2019-06-12 06:48:23.400,0.2,L0P1
318,2019-06-12 06:48:25.400,0.2,L0P1
319,2019-06-12 06:48:30.900,0.2,L0P1
320,2019-06-12 06:48:33.200,0.1,L1P0
321,2019-06-12 06:48:34.100,0.1,L1P0
322,2019-06-12 06:48:36.200,0.1,L0P1
323,2019-06-12 06:48:36.500,0.1,L1P0
324,2019-06-12 06:48:37.200,0.2,L0P1
325,2019-06-12 06:49:41.800,0.2,L0P1
326,2019-06-12 06:49:51.900,0.1,L1P0
327,2019-06-12 06:49:52.500,0.2,L0P1
328,2019-06-12 06:49:53.500,0.2,L1P0
329,2019-06-12 06:49:54.200,0.2,L0P1
330,2019-06-12 06:50:14.100,0.1,L0P1
331,2019-06-12 06:50:14.700,0.1,L0P1
332,2019-06-12 06:50:19.100,0.1,L1P0
333,2019-06-12 06:50:19.900,0.2,L0P1
334,2019-06-12 06:51:08.600,0.3,L0P1
335,2019-06-12 06:51:42.200,0.1,L1P0
336,2019-06-12 06:51:53.700,0.1,L1P0
337,2019-06-12 06:51:54.600,0.1,L0P1
338,2019-06-12 06:52:08.400,0.1,L1P0
