,Timestamp,Event Type,Parameter
300,2019-06-12 05:49:05.500,81,VC 13/34
301,2019-06-12 05:49:05.600,82,VC 13/34
302,2019-06-12 05:49:06.700,81,VC 13/34
303,2019-06-12 05:49:08.300,82,VC 13/34
306,2019-06-12 05:49:09.200,81,VC 13/34
307,2019-06-12 05:49:09.600,82,VC 13/34
310,2019-06-12 05:49:10.500,81,VC 13/34
311,2019-06-12 05:49:25.300,82,VC 13/34
312,2019-06-12 05:49:26.000,81,VC 13/34
313,2019-06-12 05:49:26.100,82,VC 13/34
314,2019-06-12 05:49:26.200,81,VC 13/34
315,2019-06-12 05:49:28.400,82,VC 13/34
316,2019-06-12 05:49:29.400,81,VC 13/34
317,2019-06-12 05:49:46.900,82,VC 13/34
318,2019-06-12 05:49:53.000,81,VC 13/34
319,2019-06-12 05:49:53.100,82,VC 13/34
320,2019-06-12 05:49:53.200,81,VC 13/34
321,2019-06-12 05:50:06.500,82,VC 13/34
322,2019-06-12 05:50:07.500,81,VC 13/34
323,2019-06-12 05:51:36.200,82,VC 13/34
325,2019-06-12 05:51:43.000,81,VC 13/34
326,2019-06-12 05:51:43.100,82,VC 13/34
327,2019-06-12 05:51:43.200,81,VC 13/34
328,2019-06-12 05:52:14.200,82,VC 13/34
329,2019-06-12 05:52:16.400,81,VC 13/34
330,2019-06-12 05:52:34.500,82,VC 13/34
333,2019-06-12 05:52:35.400,81,VC 13/34
334,2019-06-12 05:52:51.400,82,VC 13/34
335,2019-06-12 05:52:52.400,81,VC 13/34
336,2019-06-12 05:53:21.200,82,VC 13/34
337,2019-06-12 05:53:22.300,81,VC 13/34
338,2019-06-12 05:53:55.800,82,VC 13/34
341,2019-06-12 05:53:56.800,81,VC 13/34
342,2019-06-12 05:54:33.700,82,VC 13/34
343,2019-06-12 05:54:40.000,81,VC 13/34
344,2019-06-12 05:54:40.100,82,VC 13/34
345,2019-06-12 05:54:40.200,81,VC 13/34
346,2019-06-12 05:55:19.000,82,VC 13/34
349,2019-06-12 05:55:20.100,81,VC 13/34
350,2019-06-12 05:55:36.800,82,VC 13/34
351,2019-06-12 05:55:37.900,81,VC 13/34
352,2019-06-12 05:55:48.700,82,VC 13/34
353,2019-06-12 05:55:49.600,81,VC 13/34
354,2019-06-12 05:55:52.700,82,VC 13/34
357,2019-06-12 05:55:53.600,81,VC 13/34
358,2019-06-12 05:55:53.800,82,VC 13/34
361,2019-06-12 05:55:54.800,81,VC 13/34
362,2019-06-12 05:56:12.200,82,VC 13/34
363,2019-06-12 05:56:25.800,81,VC 13/34
364,2019-06-12 05:56:49.100,82,VC 13/34
367,2019-06-12 05:56:50.200,81,VC 13/34
368,2019-06-12 05:57:06.900,82,VC 13/34
369,2019-06-12 05:57:14.700,81,VC 13/34
370,2019-06-12 05:57:32.600,82,VC 13/34
371,2019-06-12 05:57:33.500,81,VC 13/34
372,2019-06-12 06:00:16.500,82,VC 13/34
375,2019-06-12 06:00:17.600,81,VC 13/34
376,2019-06-12 06:00:44.500,82,VC 13/34
377,2019-06-12 06:00:46.000,81,VC 13/34
378,2019-06-12 06:00:46.100,82,VC 13/34
379,2019-06-12 06:00:46.200,81,VC 13/34
380,2019-06-12 06:01:52.700,82,VC 13/34
383,2019-06-12 06:02:23.900,81,VC 13/34
384,2019-06-12 06:03:48.600,82,VC 13/34
385,2019-06-12 06:03:49.700,81,VC 13/34
386,2019-06-12 06:04:23.700,82,VC 13/34
387,2019-06-12 06:04:25.100,81,VC 13/34
388,2019-06-12 06:05:48.600,82,VC 13/34
389,2019-06-12 06:05:49.600,81,VC 13/34
390,2019-06-12 06:06:17.400,82,VC 13/34
391,2019-06-12 06:06:18.700,81,VC 13/34
392,2019-06-12 06:06:26.800,82,VC 13/34
393,2019-06-12 06:06:44.200,81,VC 13/34
394,2019-06-12 06:07:56.900,82,VC 13/34
397,2019-06-12 06:07:57.900,81,VC 13/34
398,2019-06-12 06:07:59.200,82,VC 13/34
399,2019-06-12 06:08:00.200,81,VC 13/34
400,2019-06-12 06:08:09.100,82,VC 13/34
401,2019-06-12 06:08:10.200,81,VC 13/34
402,2019-06-12 06:08:20.600,82,VC 13/34
403,2019-06-12 06:08:21.600,81,VC 13/34
404,2019-06-12 06:09:07.400,82,VC 13/34
407,2019-06-12 06:09:08.500,81,VC 13/34
408,2019-06-12 06:09:16.500,82,VC 13/34
411,2019-06-12 06:09:17.700,81,VC 13/34
412,2019-06-12 06:10:28.600,82,VC 13/34
413,2019-06-12 06:10:29.600,81,VC 13/34
414,2019-06-12 06:10:47.300,82,VC 13/34
417,2019-06-12 06:10:48.200,81,VC 13/34
418,2019-06-12 06:11:31.700,82,VC 13/34
421,2019-06-12 06:11:32.800,81,VC 13/34
422,2019-06-12 06:12:02.000,82,VC 13/34
425,2019-06-12 06:12:03.200,81,VC 13/34
426,2019-06-12 06:12:04.000,82,VC 13/34
427,2019-06-12 06:12:05.200,81,VC 13/34
428,2019-06-12 06:13:54.200,82,VC 13/34
431,2019-06-12 06:14:21.700,81,VC 13/34
432,2019-06-12 06:14:23.800,82,VC 13/34
433,2019-06-12 06:14:26.800,81,VC 13/34
434,2019-06-12 06:14:37.900,82,VC 13/34
435,2019-06-12 06:14:39.300,81,VC 13/34
436,2019-06-12 06:15:11.400,82,VC 13/34
439,2019-06-12 06:15:12.500,81,VC 13/34
440,2019-06-12 06:15:42.700,82,VC 13/34
441,2019-06-12 06:15:43.800,81,VC 13/34
442,2019-06-12 06:16:45.900,82,VC 13/34
443,2019-06-12 06:16:46.900,81,VC 13/34
444,2019-06-12 06:17:22.800,82,VC 13/34
445,2019-06-12 06:17:25.500,81,VC 13/34
446,2019-06-12 06:17:45.900,82,VC 13/34
449,2019-06-12 06:17:46.900,81,VC 13/34
450,2019-06-12 06:17:48.400,82,VC 13/34
451,2019-06-12 06:17:49.500,81,VC 13/34
452,2019-06-12 06:18:27.800,82,VC 13/34
453,2019-06-12 06:18:41.800,81,VC 13/34
454,2019-06-12 06:19:20.800,82,VC 13/34
455,2019-06-12 06:19:21.800,81,VC 13/34
456,2019-06-12 06:19:22.700,82,VC 13/34
