,Timestamp,Event Type,Parameter
359,2019-07-03 09:42:37.200,81,VC 17/36
360,2019-07-03 09:44:03.900,82,VC 17/36
361,2019-07-03 09:44:07.300,81,VC 17/36
362,2019-07-03 09:44:32.700,82,VC 17/36
363,2019-07-03 09:44:34.900,81,VC 17/36
364,2019-07-03 09:45:26.200,82,VC 17/36
365,2019-07-03 09:45:29.200,81,VC 17/36
366,2019-07-03 09:45:29.900,82,VC 17/36
369,2019-07-03 09:45:41.700,81,VC 17/36
370,2019-07-03 09:47:25.600,82,VC 17/36
371,2019-07-03 09:47:29.800,81,VC 17/36
372,2019-07-03 09:47:50.900,82,VC 17/36
373,2019-07-03 09:47:52.800,81,VC 17/36
374,2019-07-03 09:48:45.300,82,VC 17/36
375,2019-07-03 09:48:48.100,81,VC 17/36
376,2019-07-03 09:48:49.300,82,VC 17/36
377,2019-07-03 09:49:03.000,81,VC 17/36
378,2019-07-03 09:49:10.100,82,VC 17/36
379,2019-07-03 09:49:12.300,81,VC 17/36
380,2019-07-03 09:51:25.900,82,VC 17/36
383,2019-07-03 09:51:27.600,81,VC 17/36
384,2019-07-03 09:53:27.600,82,VC 17/36
385,2019-07-03 09:53:46.600,81,VC 17/36
386,2019-07-03 09:54:00.400,82,VC 17/36
387,2019-07-03 09:54:02.900,81,VC 17/36
388,2019-07-03 09:57:11.400,82,VC 17/36
391,2019-07-03 09:57:13.600,81,VC 17/36
392,2019-07-03 09:57:14.900,82,VC 17/36
393,2019-07-03 09:57:16.700,81,VC 17/36
394,2019-07-03 09:57:29.600,82,VC 17/36
395,2019-07-03 09:57:31.200,81,VC 17/36
396,2019-07-03 09:57:32.200,82,VC 17/36
399,2019-07-03 09:57:34.100,81,VC 17/36
400,2019-07-03 09:57:43.700,82,VC 17/36
401,2019-07-03 09:57:47.200,81,VC 17/36
402,2019-07-03 09:59:46.600,82,VC 17/36
405,2019-07-03 09:59:49.800,81,VC 17/36
406,2019-07-03 10:01:05.800,82,VC 17/36
407,2019-07-03 10:01:08.900,81,VC 17/36
408,2019-07-03 10:01:52.700,82,VC 17/36
409,2019-07-03 10:01:54.700,81,VC 17/36
410,2019-07-03 10:03:42.200,82,VC 17/36
413,2019-07-03 10:03:43.800,81,VC 17/36
414,2019-07-03 10:05:16.300,82,VC 17/36
415,2019-07-03 10:05:18.300,81,VC 17/36
416,2019-07-03 10:06:05.400,82,VC 17/36
419,2019-07-03 10:06:07.600,81,VC 17/36
420,2019-07-03 10:08:00.300,82,VC 17/36
423,2019-07-03 10:08:03.900,81,VC 17/36
424,2019-07-03 10:09:00.700,82,VC 17/36
425,2019-07-03 10:09:02.600,81,VC 17/36
426,2019-07-03 10:09:48.400,82,VC 17/36
427,2019-07-03 10:09:50.700,81,VC 17/36
428,2019-07-03 10:10:38.700,82,VC 17/36
429,2019-07-03 10:10:42.200,81,VC 17/36
430,2019-07-03 10:11:02.300,82,VC 17/36
431,2019-07-03 10:11:04.400,81,VC 17/36
432,2019-07-03 10:11:04.500,82,VC 17/36
433,2019-07-03 10:11:04.600,81,VC 17/36
434,2019-07-03 10:11:15.000,82,VC 17/36
435,2019-07-03 10:11:17.200,81,VC 17/36
436,2019-07-03 10:11:23.600,82,VC 17/36
437,2019-07-03 10:11:25.400,81,VC 17/36
438,2019-07-03 10:11:25.500,82,VC 17/36
439,2019-07-03 10:11:25.600,81,VC 17/36
